Ticker,QMV($),HQ Location,Sector
HRA,9490009.49,ON,ETP
HGY,22364061.92,ON,ETP
HGM,13077000,ON,ETP
HMA,7642750,ON,ETP
HHF,40087890,ON,ETP
HXQ,21807676.4,ON,ETP
HNY,11139897.49,ON,ETP
HUC,32822625,ON,ETP
HUN,12229750,ON,ETP
HSH,5179709.25,ON,ETP
HXS,525355478.2,ON,ETP
HEW,11560320.1,ON,ETP
HXT,931290657.1,ON,ETP
HXE,12652264.35,ON,ETP
HXF,39663579.45,ON,ETP
HAC,192220305.4,ON,ETP
HTH,4903499.51,ON,ETP
HTB,16350740.7,ON,ETP
DLR,81571537.44,ON,ETP
HSB.PR.C,352310000,BC,Financial Services
HBM,2140259093,ON,Mining
HBC,2691109774,ON,Diversified Industries
HSE,16515161656.5,AB,Oil & Gas
H,13732600000,ON,Utilities & Pipelines
HYG,82169488,ON,Clean Technology
HYD,8314991.28,AB,Diversified Industries
IMG,2217265896,ON,Mining
IBG,263903006.9,ON,Diversified Industries
ICP,19587354.5,ON,Mining
IFA,54578475,ON,Diversified Industries
IGM,9507635810,MB,Financial Services
IMV,83351976.24,NS,Life Sciences
III,490611168,BC,Mining
IMO,38981078516,AB,Oil & Gas
IRG,185873962.7,NB,Diversified Industries
INC.UN,31878255.36,ON,Closed-End Funds
IDX.UN,108982538.8,ON,Closed-End Funds
IDG,425582476.4,ON,Diversified Industries
IAG,6172941519,QC,Financial Services
IAC.A,230920000,ON,
ISV,301875000,SK,Technology
INE,1687540522,QC,Clean Technology
IGG,32331855,ON,Diversified Industries
IPO,117928748.1,AB,Oil & Gas
INQ,31621870,ON,Diversified Industries
IFC,12619636980.3,ON,Financial Services
IAM,30944253.35,ON,Financial Services
I,108620293.2,ON,Life Sciences
IPL,9819678912,AB,Utilities & Pipelines
IFP,1044154084,BC,Forest Products & Paper
IRD,37214556.45,SK,Technology
IIP.UN,514446804.3,ON,Real Estate
IT,631454352.8,ON,Technology
ITP,1447366868,QC,Diversified Industries
ITC,43206728.65,BC,Technology
INV,46708301.52,ON,Mining
IFB.UN,33767250.54,ON,Closed-End Funds
PFU.UN,12453192.9,ON,Closed-End Funds
CBH,215895000,ON,ETP
CLG,181997250,ON,ETP
CBO,2057986000,ON,ETP
CLF,1046274000,ON,ETP
XAL,31694000,ON,ETP
CBN,38791000,ON,ETP
CBD,71530250,ON,ETP
CBQ,63692500,ON,ETP
XCB,1633878000,ON,ETP
FIE,471192144.8,ON,ETP
CRQ,234013500,ON,ETP
XGB,393660000,ON,ETP
XCG,46816000,ON,ETP
